"Id","Designator","Package","Quantity","Designation","Supplier and ref",
1,"U3","PLCC-44_THT-Socket",1,"M60011-0131J",,,
2,"J-ADDR1,J3,J4-2,J3-2,J5,J4,J7,J1","PinSocket_1x08_P2.54mm_Vertical",8,"Conn_01x08_Male",,,
3,"U1","PLCC-68_THT-Socket",1,"TMP76C75T",,,
4,"D0,D2,D1","D_A-405_P10.16mm_Horizontal",3,"IN4001",,,
5,"C1","CP_Radial_D5.0mm_P2.50mm",1,"C",,,
6,"C6","CP_Radial_D5.0mm_P2.50mm",1,"C_Small",,,
7,"C5,C15","C_2816_7142Metric",2,"C_Small",,,
8,"C14,C13,C11,C12,C10,C9,C8,C7,C4,C2,C3","C_1206_3216Metric",11,"C_Small",,,
9,"J-PWR1","BarrelJack_CUI_PJ-063AH_Horizontal",1,"Jack-DC",,,
10,"J-BYPASS1,J-POW1","PinHeader_1x02_P2.54mm_Vertical",2,"Conn_01x02",,,
11,"U4","TO-220-3_Vertical",1,"LM78M05_TO220",,,
12,"SW1","SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm",1,"SW_DIP_x03",,,
13,"SW2","SW_PUSH_6mm_H5mm",1,"SW_Push_SPDT",,,
14,"XTAL1","Crystal_HC18-U_Vertical",1,"Crystal",,,
15,"J2","PinSocket_1x07_P2.54mm_Vertical",1,"Conn_01x07_Male",,,
16,"RN5,RN4-2,RN3-2,RN7,RN4,RN3,RN1","R_Array_SIP9",7,"R_Network08",,,
17,"J6","PinSocket_1x06_P2.54mm_Vertical",1,"Conn_01x06_Male",,,
18,"U2","DIP-28_W15.24mm",1,"27C256",,,
19,"RN6","R_Array_SIP7",1,"R_Network06",,,
20,"RN2","R_Array_SIP5",1,"R_Network04_US",,,
21,"J-CLK1","SMA_Amphenol_901-144_Vertical",1,"Conn_Coaxial_x2_Isolated",,,
